"","label","index","nr_pix","height","width","tallness","rows_with_1","cols_with_1","rows_with_5plus","cols_with_5plus","one_neigh","three_plus_neigh","none_below","none_above","none_before","none_after","nr_regions","nr_eyes","r5_c5","bd_decimal","r_max_pixel","c_max_pixel"
"142","34","6",38,13,14,0.928571428571429,3,0,1,0,3,8,25,24,3,3,10,9,1,0.447368421052632,12,3
"143","34","7",36,11,13,0.846153846153846,3,0,2,0,3,6,26,24,4,3,7,2,2,0.5,12,4
"144","34","8",33,11,12,0.916666666666667,3,1,2,0,4,0,24,24,2,3,10,1,2,0.575757575757576,11,3
"145","35","1",30,12,11,1.09090909090909,4,1,1,0,4,0,20,20,3,2,4,5,1,0.4,9,3
"146","35","2",32,12,12,1,2,1,1,0,4,3,21,21,3,2,1,7,1,0.46875,11,3
"147","35","3",44,15,14,1.07142857142857,4,2,2,2,1,20,24,20,4,5,7,10,0,0.340909090909091,12,6
"148","35","4",33,13,12,1.08333333333333,4,1,1,0,4,0,22,22,3,2,7,4,1,0.363636363636364,9,3
"149","35","5",37,14,14,1,3,1,1,0,3,3,24,24,4,2,9,7,1,0.432432432432432,11,3
"150","35","6",42,11,15,0.733333333333333,0,2,1,1,3,15,28,28,3,3,2,1,0,0.452380952380952,14,5
"151","35","7",38,13,13,1,2,0,1,0,4,2,27,26,3,3,9,6,1,0.368421052631579,13,3
"152","35","8",36,14,13,1.07692307692308,6,1,1,0,4,4,23,23,3,2,2,5,1,0.388888888888889,13,4
"153","36","1",35,11,13,0.846153846153846,8,1,2,0,5,15,19,19,3,5,1,8,2,0.4,13,4
"154","36","2",40,14,13,1.07692307692308,10,1,2,2,4,20,16,19,7,9,1,1,0,0.425,13,5
"155","36","3",30,12,10,1.2,8,1,2,0,4,12,14,14,5,5,8,1,2,0.466666666666667,9,4
"156","36","4",32,10,13,0.769230769230769,8,2,2,0,6,12,19,19,4,5,1,4,2,0.40625,13,4
"157","36","5",30,9,11,0.818181818181818,4,1,2,0,4,13,16,16,4,5,9,9,2,0.466666666666667,11,4
"158","36","6",38,12,14,0.857142857142857,8,1,3,1,5,15,22,21,3,6,5,9,2,0.394736842105263,14,5
"159","36","7",34,11,13,0.846153846153846,8,2,2,0,5,15,20,19,4,5,4,4,2,0.5,13,4
"160","36","8",34,11,12,0.916666666666667,6,1,2,0,5,12,17,18,3,5,2,1,2,0.323529411764706,11,4
"161","37","1",34,9,15,0.6,0,1,1,0,4,8,16,14,6,6,10,4,1,0.352941176470588,6,4
"162","37","2",41,13,16,0.8125,2,1,2,0,3,11,13,14,9,9,1,2,2,0.365853658536585,7,4
"163","37","3",31,8,15,0.533333333333333,1,1,3,0,4,8,14,16,2,2,7,3,3,0.387096774193548,6,3
"164","37","4",29,10,12,0.833333333333333,2,1,1,0,2,6,8,9,7,7,9,7,1,0.517241379310345,5,4
"165","37","5",26,6,13,0.461538461538462,0,0,2,0,3,1,15,14,2,3,8,8,2,0.384615384615385,6,2
"166","37","6",32,8,14,0.571428571428571,1,1,4,0,4,11,14,13,4,4,10,3,4,0.375,5,4
"167","37","7",33,9,16,0.5625,0,2,2,0,3,8,14,13,3,1,7,3,2,0.333333333333333,5,4
"168","37","8",32,8,14,0.571428571428571,0,0,2,0,3,6,13,15,5,5,3,3,2,0.40625,5,4
